2023-05-09 10:20:26,936 INFO Starting...
2023-05-09 10:20:26,936 INFO Tickers: ['CB']
2023-05-09 10:21:43,142 INFO used_ofi_cancel_5_3: 0.02372187765466719 , std 0.1521813069177821 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_6_3: 0.024726654913817515 , std 0.15529084792926623 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_7_3: 0.022744503411675512 , std 0.14908786327609563 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_8_3: 0.027955643651177874 , std 0.16484576318251623 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_9_3: 0.031198333896617553 , std 0.17385338034876607 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_10_3: 0.0441827963864556 , std 0.20550103865900193 
2023-05-09 10:21:43,142 INFO used_ofi_trade_1_3: 0.0018679722681476474 , std 0.043179658958276634 
2023-05-09 10:21:43,142 INFO used_ofi_trade_2_3: 0.002932122728975036 , std 0.054069634595373985 
2023-05-09 10:21:43,142 INFO used_ofi_trade_3_3: 0.002996063100011875 , std 0.05465424691561143 
2023-05-09 10:21:43,143 INFO used_ofi_trade_4_3: 0.0021145994135754543 , std 0.04593612829675091 
2023-05-09 10:21:43,143 INFO used_ofi_trade_5_3: 0.0017400915260739698 , std 0.041678095056694404 
2023-05-09 10:21:43,143 INFO used_ofi_trade_6_3: 0.0019410469779040345 , std 0.04401453526431472 
2023-05-09 10:21:43,143 INFO used_ofi_trade_7_3: 0.002274450341167551 , std 0.047636931227915125 
2023-05-09 10:21:43,143 INFO used_ofi_trade_8_3: 0.002475405792997616 , std 0.04969183191589548 
2023-05-09 10:21:43,143 INFO used_ofi_trade_9_3: 0.0025119431478758097 , std 0.050056301196728964 
2023-05-09 10:21:43,143 INFO used_ofi_trade_10_3: 0.0037085415201366496 , std 0.060784769802394355 
2023-05-09 10:21:43,837 INFO Grouping by horizont:
2023-05-09 10:21:43,837 INFO 1: 0.27555102898325673
2023-05-09 10:21:43,837 INFO 2: 0.4241941229664679
2023-05-09 10:21:43,837 INFO 3: 0.7437680974085883
2023-05-09 10:21:43,837 INFO Grouping by ofi type:
2023-05-09 10:21:43,837 INFO add: 0.8604638417201788
2023-05-09 10:21:43,837 INFO cancel: 0.5354275327237685
2023-05-09 10:21:43,837 INFO trade: 0.047621874914365585
2023-05-09 10:21:43,837 INFO Grouping by ofi type and horizont:
2023-05-09 10:21:43,837 INFO add_1: 0.16251815449820511
2023-05-09 10:21:43,837 INFO cancel_1: 0.10383002822510665
2023-05-09 10:21:43,837 INFO trade_1: 0.009202846259945012
2023-05-09 10:21:43,837 INFO add_2: 0.25349616814490716
2023-05-09 10:21:43,837 INFO cancel_2: 0.15684116298400577
2023-05-09 10:21:43,837 INFO trade_2: 0.013856791837554918
2023-05-09 10:21:43,837 INFO add_3: 0.4444495190770664
2023-05-09 10:21:43,837 INFO cancel_3: 0.274756341514656
2023-05-09 10:21:43,837 INFO trade_3: 0.024562236816865642
2023-05-09 10:21:43,837 INFO Grouping by level:
2023-05-09 10:21:43,837 INFO 1: 0.10263799702220558
2023-05-09 10:21:43,837 INFO 2: 0.16412123094348585
2023-05-09 10:21:43,837 INFO 3: 0.15075769339678655
